Código;Alimento;Unidades;Factor Correc;Agua (g);Energía (kcal);Proteínas (g);Lípidos (g);Ácidos Grasos Saturados (g);Ácidos Grasos Monoinsaturados (g);Ácidos Grasos Poliinsaturados (g);Colesterol (mg);Hidratos de Carbono (g);Fibra (g);Cenizas (g);Sodio (mg);Potasio (mg);Calcio (mg);Fósforo (mg);Hierro (mg);Zinc (mg);Niacina (mg);Folatos (µg);Vitamina A (µg RAE);Tiamina (B1) (mg);Riboflavina (B2) (mg);Vitamina B12 (µg);Vitamina C (mg);Vitamina D (UI)
A011;Cappelettis;gramos;1;37,55;266,71;8,22;8,39;1,62;2,01;3,46;28;39,58;3,05;1,4;39,24;197;44,4;141,3;1,8;1,28;1,12;21,16;49,25;0,158;0,12;0,095;0;0
A012;Copos de cereales azucarados / Tutuca / Puflito;gramos;1;3;365,2;7;0,8;0,19;0,11;0,32;0;82,5;3,5;3,2;725;90;7;50;7,9;0,27;17,9;19;537;1,3;1,53;5,4;0;0
A013;Chipá;gramos;1;21,2;369,46;3,33;12,14;7,07;4,36;0,36;56;61,72;0,63;0,86;105,8;32,7;30,91;27,46;1,28;0,48;0,03;7,1;102,85;0,021;0,075;0,205;0;0
A014;Churros;gramos;1;24;453,52;6,11;28,76;11,85;9,77;6,084;68;42,56;2,44;2,89;58,66;103,2;11,66;105,56;2,78;0,96;1,7;244,94;157;0,511;0,146;0,09;0;0
A015;Facturas rellenas;gramos;1;28;336,97;4,13;13,05;7,16;4,8;0,38;45;50,75;1,81;2,26;47,87;96,3;13,17;78,6;3,27;0,67;1,08;147,93;104;0,307;0,099;0,05;0;0
A016;Facturas simples;gramos;1;30;354,25;5,42;18,53;10,19;6,81;0,53;63;41,45;2,16;2,44;54,7;91,4;10,52;93,72;2,19;0,9;1,39;182,06;148;0,393;0,13;0,092;0;0
A017;Fideos frescos crudos;gramos;1;27,26;284,99;10,6;4,79;0,84;1,1;0,94;104;49,87;3,53;2,4;38,84;167,2;21,38;180,68;1,72;1,63;1,35;29,3;32,5;0,22;0,188;0,29;0;0
A018;Fideos secos;gramos;1;10,25;355,74;12,78;1,58;0,225;0,186;0,647;0;72,6;2,4;0,39;7;162;18;150;4,3;1,21;3;392;0;0,72;0,19;0;0;0
A019;Galletas de arroz;gramos;1;5,8;374,7;7,1;4,3;0,875;1,582;1,52;0;76,9;4,2;1,7;71;428;11;360;1,5;3;7,81;21;0;0,06;0,29;0;0;0
A020;Galletitas de harina blanca;gramos;1;5,1;433,5;13,5;15,5;3,79;9,3;2,4;0;60;2;3,9;323;99;44;174;3,43;0;2,4;316,2;0;0,63;0,61;0;0;0
A021;Galletitas tipo Express;gramos;1;5,1;433,5;13,5;15,5;3,79;9,3;2,4;0;60;2;3,9;323;99;44;174;3,43;0;2,4;316,2;0;0,63;0,61;0;0;0
A022;Galletitas integrales;gramos;1;5,4;410,6;10,6;15,8;3,86;9,48;2,45;0;56,5;9,8;1,89;141;182;19;200;2;2,2;4,5;24;0;0,2;0,1;0;0;0
A023;Galletitas dulces rellenas;gramos;1;2,2;480,4;4,5;20;2,979;8,437;7,551;0;70,6;1,5;1,2;349;91;27;75;3,21;0,4;3,12;149,8;0;0,471;0,283;0;0;0
A024;Galletitas dulces simples tipo Manón;gramos;1;3;415,34;8,5;10,1;2,81;5,6;0,84;0;72,61;0,4;5,4;233;41;42;111;2,25;2,17;1,02;90;12;0,2;0,05;9;0;0
A025;Garbanzos;gramos;1;11,53;304,56;19,3;6,04;0,626;1,358;2,694;0;43,25;17,4;2,48;24;875;105;366;6,24;3,43;1,54;557;3;0,477;0,212;0;0;0
A026;Granola;gramos;1;3,5;383,42;8;5,5;1,39;1,54;1,03;1;75,48;5,7;1,8;237;407;60;267;2,63;1,93;1,87;24;1;0,3;0,17;0,1;0;0
A027;Harina de Algarrobo / Patay;gramos;1;3,58;219,85;4,62;0,65;0,09;0,197;0,216;0;48,88;40;2,27;35;827;348;79;2,94;0,92;1,9;29;1;0,053;0,461;0;0;0
A028;Harina de arroz;gramos;1;11,89;347,5;5,95;1,42;0,386;0,442;0,379;0;77,73;2,4;0,61;0;76;10;98;0,35;0,8;2,59;4;0;0,138;0,021;0;0;0
A029;Harina de cebada;gramos;1;10;314,78;10,2;1,7;0,405;0,248;0,932;0;64,67;12,23;1,2;4,84;374,2;38,75;358,45;3,26;2,42;1,7;9,68;0;0,081;0,16;0;0;0
A030;Harina de centeno;gramos;1;11;305,7;8,9;0,9;0,088;0,104;0,383;0;65,5;13;0,7;2,68;304,5;21,49;185,3;1,88;1,77;1,3;17,1;0;0,143;0,258;0;0;0
A031;Harina de Maíz;gramos;1;10,7;361,84;11,1;3,2;0,412;0,798;1,372;0;72,16;1,74;1,1;25;269;12;87;2,61;0,33;2,4;44;10,1;0,189;0,131;0;0;0
A032;Harina de Soja;gramos;1;7,25;282,5;47,01;1,22;0,136;0,208;0,533;0;20,87;17,5;6,15;20;2384;241;674;9,24;2,46;2,61;305;2;0,698;0,253;0;0;0
A033;Harina de Trigo;gramos;1;13,1;340,14;10,3;2,7;0,427;0,239;1,135;0;68,66;4,6;0,64;10;176;11;171;4,5;1,8;3;398;0;0,849;0,22;0;0;0
A034;Harina de Trigo integral;gramos;1;12,4;307,76;11,4;3;0,515;0,371;1,246;0;58,79;12,6;1,81;16;605;27;267;3,3;3,8;5,2;36,5;0;1,557;0,364;0;0;0
A035;Lentejas;gramos;1;10,9;224;20,8;0,8;0,14;0,168;0,46;0;33,4;31,4;2,7;12;1104;46;265;3,86;3,72;1,5;446;2;0,385;0,189;0;0;0
A036;Maíz grano entero;gramos;1;13,4;323,7;9,5;0,9;0,126;0,237;0,409;0;69,4;5,5;1,3;27;218;4,5;280;2,6;1,4;2,76;19;8,36;0,29;0,15;8;0;0
